Date,GCell Group,Integrity,K3014:Traffic Volume on TCH(Erl),PS DL Traffic (GB),PS UL Traffic (GB),Call_Setup_Success_Rate_Portal(%),MSC Assignment Attempt Rate(%),DCR_Portal_new(%),SDCCH Drop Rate_Portal(%),Handover Success Rate _Portal_new(%),Incoming_HSR(%),Incoming Inter RAT HO Success Rate,SDCCH Blocking_Portal(%),TCH_congestion_Portal(%),"Interference%_Band(3,4,5)",AM_Location_Update_SR(%),TBF SR(%),Immediate assign success rate(%),VAMOS traffic(Erl),RR307:TCH Availability%,2G Availability(%)
9/13/2023,Remote Jizan,45182Remote Jizan,15588.28,23.8585,15.2555,99.5209,113.0079,0.688,0.3135,94.0176,94.0531,95.5336,0.1179,0.0069,1.8529,98.9338,96.6481,97.958,510.22,98.9975,98.8735
9/13/2023,Remote Najran,45182Remote Najran,3999.56,19.8134,10.5563,99.4763,109.4259,0.8696,0.4048,94.3541,93.4304,97.2765,0.0912,0,0.9577,98.7559,97.4574,98.0739,20.7,99.6165,99.811
9/13/2023,E735,45182E735,10724.86,18.3524,12.2457,99.5984,98.4292,0.4799,0.2955,96.7484,96.9258,95.9544,0.1234,0,1.3212,98.2264,97.2671,98.1418,235.73,98.9002,98.8251
9/13/2023,E771,45182E771,2405.98,9.1535,6.4858,99.3855,97.7818,0.7665,0.4662,98.8977,98.8786,95.9428,0.0869,0,6.4135,96.3842,96.8915,96.5425,9.7,98.5652,98.5594
9/13/2023,E770,45182E770,893.05,9.0904,4.361,99.4049,125.2964,1.084,0.497,95.5569,95.5382,95.0904,0.0126,0,1.2286,98.2461,97.9307,97.3775,0.18,99.3319,99.9722
9/13/2023,E773,45182E773,1046.05,8.0208,6.8092,99.2733,101.939,0.7504,0.6122,94.7274,99.3827,96.9142,0.218,0,0.6329,98.6757,97.6596,98.7275,0.45,98.6039,99.437
9/13/2023,E774,45182E774,1765.8,6.9277,4.581,99.3128,105.3806,1.3944,0.5489,99.2057,99.3248,95.3455,0.1792,0,1.6712,98.2747,96.2394,98.1139,3.94,97.1241,97.3566
9/13/2023,E775,45182E775,9541.15,14.2541,8.489,99.4846,118.2137,0.7685,0.3379,93.6039,93.5179,94.9002,0.0397,0.0103,2.493,99.1227,96.9743,97.4268,506.75,99.56,99.5323
9/13/2023,E776,45182E776,4694.85,17.18,10.1364,99.5182,99.8484,0.5241,0.3746,95.7377,94.899,97.9602,0.1892,0,1.6611,98.4152,97.6899,98.198,42.21,99.7895,99.7722
9/13/2023,E777,45182E777,3649.27,7.9365,5.2113,98.7172,112.4258,0.9912,1.1296,98.1118,98.8956,96.0586,0.0744,0,2.1649,98.0704,98.551,97.5444,44.73,99.7776,99.779
9/13/2023,E778,45182E778,2074.12,6.392,4.7233,99.4996,95.7908,0.4657,0.3538,98.5617,98.5876,93.518,0.0224,0,11.1398,97.2676,98.1038,97.5608,72.41,99.5665,99.8782
9/13/2023,E291,45182E291,23817.31,24.0008,16.6816,99.2148,102.2147,2.0044,0.3774,94.2547,96.3761,97.5689,0.0896,0.1665,0.4525,98.1787,89.8407,98.023,952.67,97.6045,97.5762
9/13/2023,Southern Remote,45182Southern Remote,26591.99,66.701,42.7498,99.3101,111.2823,0.8384,0.5274,95.2277,95.4967,95.8761,0.1267,0.004,2.4923,98.4692,97.6504,97.89,587.87,98.7441,98.7644
9/13/2023,Southern City,45182Southern City,9951.33,29.6747,19.7601,99.6046,95.6104,0.3828,0.304,99.0996,99.0969,92.5506,0.0726,0,5.1503,97.2433,96.9362,97.4802,328.23,99.5593,99.7294
9/13/2023,"Cluster=Aseer CL2,Rule Name=Opt Clusters","45182Cluster=Aseer CL2,Rule Name=Opt Clusters",2947.16,9.3078,6.9146,99.118,96.1414,0.6174,0.7143,98.5594,98.5447,95.5089,0.0177,0,12.8665,96.4151,97.4674,96.7564,73.84,98.9413,99.1797
9/13/2023,"Cluster=Aseer CL1,Rule Name=Opt Clusters","45182Cluster=Aseer CL1,Rule Name=Opt Clusters",1605.18,5.7531,3.897,99.4087,97.8331,0.5708,0.4747,98.7886,98.7842,95.2126,0.0167,0,4.6849,96.3183,97.0401,96.4068,6.54,99.6209,99.6285
